GW,Date
1,12/09/2020
2,19/09/2020
3,26/09/2020
4,03/10/2020
5,17/10/2020
6,23/10/2020
7,30/10/2020
8,06/11/2020
9,21/11/2020
10,27/11/2020
11,05/12/2020
12,11/12/2020
13,15/12/2020
14,19/12/2020
15,26/12/2020
16,28/12/2020
17,01/01/2021
18,12/01/2021
19,16/01/2021
20,26/01/2021
21,30/01/2021
22,02/02/2021
23,06/02/2021
24,13/02/2021
25,19/02/2021
26,27/02/2021
27,06/03/2021
28,12/03/2021
29,19/03/2021
30,03/04/2021
31,09/04/2021
32,16/04/2021
33,23/04/2021
34,30/04/2021
35,07/05/2021
36,14/05/2021
37,18/05/2021
38,23/05/2021
